-174.9	-22.31	0
-175.073784034	-22.2294546303	20
-175.247368266	-22.1487248814	40
-175.420753274	-22.0678117055	60
-175.593939642	-21.9867160536	80
-175.76692796	-21.905438875	100
-175.939718823	-21.8239811176	120
-176.11231283	-21.7423437277	140
-176.284710587	-21.6605276502	160
-176.456912704	-21.5785338284	180
-176.628919797	-21.496363204	200
-176.800732485	-21.4140167171	220
-176.972351395	-21.3314953063	240
-177.143777155	-21.2487999088	260
-177.315010402	-21.16593146	280
-177.486051775	-21.0828908936	300
-177.656901918	-20.9996791421	320
-177.82756148	-20.9162971359	340
-177.998031115	-20.8327458043	360
-178.168311482	-20.7490260745	380
-178.338403241	-20.6651388725	400
-178.508307062	-20.5810851222	420
-178.678023614	-20.4968657463	440
-178.847553573	-20.4124816657	460
-179.01689762	-20.3279337995	480
-179.186056439	-20.2432230652	500
-179.355030717	-20.1583503789	520
-179.523821147	-20.0733166547	540
-179.692428425	-19.9881228051	560
-179.860853251	-19.9027697411	580
179.97090367	-19.8172583717	600
179.802841631	-19.7315896046	620
179.63495992	-19.6457643456	640
179.46725782	-19.5597834987	660
179.299734614	-19.4736479664	680
179.132389577	-19.3873586494	700
178.965221984	-19.3009164468	720
178.798231105	-19.2143222558	740
178.631416205	-19.1275769721	760
178.464776547	-19.0406814895	780
178.298311392	-18.9536367003	800
178.132019995	-18.8664434949	820
177.965901609	-18.779102762	840
177.799955484	-18.6916153889	860
177.634180866	-18.6039822606	880
177.468576999	-18.5162042609	900
177.303143121	-18.4282822716	920
177.137878472	-18.340217173	940
177.1	-18.32	944.586854765
