 C05W    -19.2560    185.5400     75.3358    0.104586 0.20 0.20    7.194859
 C08W    -19.2560    185.5400     75.3358    0.383730 0.20 0.20    8.219710
 B05W    -19.2560    185.5400     75.3358    0.096495 0.20 0.20    5.510870
 B04W    -19.2560    185.5400     75.3358    0.169831 0.20 0.20    4.887833
 N01W    -19.2560    185.5400     75.3358    0.204282 0.20 0.20    4.877508
 B07W    -19.2560    185.5400     75.3358    0.062240 0.20 0.20    7.356079
  B03    -19.2560    185.5400     75.3358    0.057448 0.20 0.20    4.842533
  B02    -19.2560    185.5400     75.3358    0.003454 0.20 0.20    4.785075
 PNGI    -18.9786    184.1380    288.8880    0.325911 0.20 0.20    4.894296
  B10    -18.9786    184.1380    288.8880    0.405329 0.20 0.20   10.907225
 C05W    -18.9786    184.1380    288.8880    0.658283 0.20 0.20   10.130940
 B09W    -18.9786    184.1380    288.8880    0.195929 0.20 0.20   10.893274
 C01W    -18.9786    184.1380    288.8880    0.134576 0.20 0.20    4.928750
 C03W    -18.9786    184.1380    288.8880    0.260574 0.20 0.20    7.268762
 B05W    -18.9786    184.1380    288.8880    0.446805 0.20 0.20    7.104706
 B07W    -18.9786    184.1380    288.8880    0.764612 0.20 0.20   10.187117
  B06    -18.9786    184.1380    288.8880    0.160724 0.20 0.20    9.223325
  B03    -18.9786    184.1380    288.8880    0.361963 0.20 0.20    4.979715
  B02    -18.9786    184.1380    288.8880    0.236153 0.20 0.20    4.929358
  A01    -18.9786    184.1380    288.8880    0.247832 0.20 0.20    5.066742
 PNGI    -21.1880    183.7380    212.6420    0.332304 0.20 0.20    4.879527
 A02W    -21.1880    183.7380    212.6420    0.386407 0.20 0.20    7.485421
 C05W    -21.1880    183.7380    212.6420    0.318283 0.20 0.20   12.479995
 C01W    -21.1880    183.7380    212.6420    0.233344 0.20 0.20    5.648390
 C10W    -21.1880    183.7380    212.6420    0.261658 0.20 0.20   12.877827
 C16W    -21.1880    183.7380    212.6420    0.114552 0.20 0.20   12.843320
 B04W    -21.1880    183.7380    212.6420    0.557497 0.20 0.20    7.528442
 A12W    -21.1880    183.7380    212.6420    0.310819 0.20 0.20   12.811279
  B06    -21.1880    183.7380    212.6420    0.422079 0.20 0.20   11.475825
  B02    -21.1880    183.7380    212.6420    0.115878 0.20 0.20    5.098633
 S01W    -21.1880    183.7380    212.6420    0.546038 0.20 0.20   11.303908
 C11W    -21.1880    183.7380    212.6420    0.617474 0.20 0.20   12.866421
 PNGI    -20.5166    182.7250    462.3140    0.539941 0.20 0.20    5.054149
  B12    -20.5166    182.7250    462.3140    0.675737 0.20 0.20    8.987382
 C05W    -20.5166    182.7250    462.3140    0.548500 0.20 0.20    8.793273
 MOAL    -20.5166    182.7250    462.3140    0.199916 0.20 0.20    5.152483
 C01W    -20.5166    182.7250    462.3140    0.393197 0.20 0.20    5.073482
 C08W    -20.5166    182.7250    462.3140    0.348931 0.20 0.20    9.000103
 C03W    -20.5166    182.7250    462.3140    0.054511 0.20 0.20    7.488743
 B05W    -20.5166    182.7250    462.3140    0.426322 0.20 0.20    7.672211
 B01W    -20.5166    182.7250    462.3140    0.003414 0.20 0.20    5.073844
  B03    -20.5166    182.7250    462.3140    0.093167 0.20 0.20    5.385586
  B02    -20.5166    182.7250    462.3140    0.615607 0.20 0.20    5.115753
  B13    -20.5166    182.7250    462.3140    0.661093 0.20 0.20    7.834714
 FONI    -20.5166    182.7250    462.3140    0.341057 0.20 0.20    5.052586
  FOA    -20.5617    184.8310    100.1970    0.285264 0.20 0.20    4.747967
 A02W    -20.5617    184.8310    100.1970    0.014919 0.20 0.20    4.818707
 C05W    -20.5617    184.8310    100.1970    0.240793 0.20 0.20    9.028270
  A03    -20.5617    184.8310    100.1970    0.057360 0.20 0.20    5.733047
 A08W    -20.5617    184.8310    100.1970    0.225399 0.20 0.20   13.649162
  C06    -20.5617    184.8310    100.1970    0.259193 0.20 0.20   10.503540
 C08W    -20.5617    184.8310    100.1970    0.130229 0.20 0.20   10.808577
 C03W    -20.5617    184.8310    100.1970    0.093763 0.20 0.20    6.671143
 C10W    -20.5617    184.8310    100.1970    0.220394 0.20 0.20   11.907761
 B04W    -20.5617    184.8310    100.1970    0.009570 0.20 0.20    4.891315
  B02    -20.5617    184.8310    100.1970    0.103061 0.20 0.20    4.808565
 C11W    -20.5617    184.8310    100.1970    0.221649 0.20 0.20   12.231664
  A01    -20.5617    184.8310    100.1970    0.498963 0.20 0.20    4.799401
 PNGI    -20.6386    182.4010    482.8180    0.444617 0.20 0.20    5.154692
 C01W    -20.6386    182.4010    482.8180    0.231208 0.20 0.20    5.236966
 B05W    -20.6386    182.4010    482.8180    0.236582 0.20 0.20    8.058269
 B04W    -20.6386    182.4010    482.8180    0.534455 0.20 0.20    6.473322
 N01W    -20.6386    182.4010    482.8180    0.660220 0.20 0.20    6.498497
  B03    -20.6386    182.4010    482.8180    0.205986 0.20 0.20    5.535599
  B02    -20.6386    182.4010    482.8180    0.335708 0.20 0.20    5.243366
 S01W    -20.6386    182.4010    482.8180    0.437060 0.20 0.20    8.380422
 FONI    -20.6386    182.4010    482.8180    0.301696 0.20 0.20    5.135560
 PNGI    -21.4259    183.7720    195.2080    0.267263 0.20 0.20    4.875986
  FOA    -21.4259    183.7720    195.2080    0.149886 0.20 0.20    4.877353
 A02W    -21.4259    183.7720    195.2080    0.452752 0.20 0.20    7.869563
 C05W    -21.4259    183.7720    195.2080    0.138189 0.20 0.20   13.253306
  A03    -21.4259    183.7720    195.2080    0.466471 0.20 0.20    9.836208
 C01W    -21.4259    183.7720    195.2080    0.065777 0.20 0.20    5.658622
 A08W    -21.4259    183.7720    195.2080    0.508195 0.20 0.20   13.588765
 C08W    -21.4259    183.7720    195.2080    0.516769 0.20 0.20   13.558946
 C03W    -21.4259    183.7720    195.2080    0.390548 0.20 0.20    9.188699
 C10W    -21.4259    183.7720    195.2080    0.295636 0.20 0.20   13.597576
 B05W    -21.4259    183.7720    195.2080    0.046074 0.20 0.20   10.481109
 C16W    -21.4259    183.7720    195.2080    0.267562 0.20 0.20   13.527019
 B04W    -21.4259    183.7720    195.2080    0.432152 0.20 0.20    8.707095
  B02    -21.4259    183.7720    195.2080    0.093834 0.20 0.20    5.510740
 S01W    -21.4259    183.7720    195.2080    0.218069 0.20 0.20   12.015606
  A01    -21.4259    183.7720    195.2080    0.096667 0.20 0.20    5.578022
 PNGI    -19.4721    185.5770     78.7959    0.350499 0.20 0.20    4.602254
  B10    -19.4721    185.5770     78.7959    0.056764 0.20 0.20    9.547146
 A02W    -19.4721    185.5770     78.7959    0.131756 0.20 0.20    4.855065
  A03    -19.4721    185.5770     78.7959    0.127062 0.20 0.20    5.267847
 TNGA    -19.4721    185.5770     78.7959    0.193762 0.20 0.20    4.761155
 C08W    -19.4721    185.5770     78.7959    0.208168 0.20 0.20    8.269855
 B05W    -19.4721    185.5770     78.7959    0.437908 0.20 0.20    5.463700
 N01W    -19.4721    185.5770     78.7959    0.537182 0.20 0.20    4.887030
 B01W    -19.4721    185.5770     78.7959    0.022641 0.20 0.20    4.773888
 B07W    -19.4721    185.5770     78.7959    0.489061 0.20 0.20    7.300706
  B03    -19.4721    185.5770     78.7959    0.341690 0.20 0.20    4.842416
  B02    -19.4721    185.5770     78.7959    0.400866 0.20 0.20    4.785121
  B12    -19.9568    185.4300     76.7376    0.511647 0.20 0.20   11.758993
  B10    -19.9568    185.4300     76.7376    0.143702 0.20 0.20   10.185201
 A02W    -19.9568    185.4300     76.7376    0.255415 0.20 0.20    4.852203
 C05W    -19.9568    185.4300     76.7376    0.236255 0.20 0.20    7.151501
  A03    -19.9568    185.4300     76.7376    0.502691 0.20 0.20    5.296204
 B09W    -19.9568    185.4300     76.7376    0.255194 0.20 0.20    9.412154
 C01W    -19.9568    185.4300     76.7376    0.065489 0.20 0.20    4.763865
  C06    -19.9568    185.4300     76.7376    0.306666 0.20 0.20    8.349545
 C08W    -19.9568    185.4300     76.7376    0.164008 0.20 0.20    8.829215
 C03W    -19.9568    185.4300     76.7376    0.047387 0.20 0.20    5.868989
 N01W    -19.9568    185.4300     76.7376    0.077263 0.20 0.20    4.892988
 B07W    -19.9568    185.4300     76.7376    0.464455 0.20 0.20    7.611332
 C07W    -19.9568    185.4300     76.7376    0.009995 0.20 0.20    8.286685
 FONI    -19.9568    185.4300     76.7376    0.170599 0.20 0.20    4.599658
  A01    -19.9568    185.4300     76.7376    0.022276 0.20 0.20    4.835890
 B11W    -21.8200    184.4360     90.5907    0.404368 0.20 0.20   15.314414
 EUAP    -21.8200    184.4360     90.5907    0.300205 0.20 0.20    4.682710
  A09    -21.8200    184.4360     90.5907    0.387491 0.20 0.20   14.953242
 A14W    -21.8200    184.4360     90.5907    0.589360 0.20 0.20   13.194162
 TNGA    -21.8200    184.4360     90.5907    0.022701 0.20 0.20    4.715185
 C09W    -21.8200    184.4360     90.5907    0.262031 0.20 0.20   12.331963
 C01W    -21.8200    184.4360     90.5907    0.018918 0.20 0.20    4.836365
 S02W    -21.8200    184.4360     90.5907    0.199679 0.20 0.20   16.114071
 A08W    -21.8200    184.4360     90.5907    0.198499 0.20 0.20   14.316802
  A11    -21.8200    184.4360     90.5907    0.809437 0.20 0.20   16.074286
 C08W    -21.8200    184.4360     90.5907    0.131902 0.20 0.20   12.716520
 C03W    -21.8200    184.4360     90.5907    0.438179 0.20 0.20    6.179645
 C10W    -21.8200    184.4360     90.5907    0.207271 0.20 0.20   12.104286
 B05W    -21.8200    184.4360     90.5907    0.327450 0.20 0.20    7.216464
 C16W    -21.8200    184.4360     90.5907    0.711077 0.20 0.20   15.600114
 A06W    -21.8200    184.4360     90.5907    0.467538 0.20 0.20   12.983140
 B04W    -21.8200    184.4360     90.5907    0.080672 0.20 0.20    5.181830
