11_52132  C08W  -18.9786  -175.8620  288.8880  0.444363  0.005117  0.033562  10.95
11_52132  C01W  -18.9786  -175.8620  288.8880  0.259971  0.003951  0.029094  5.92
11_52132  C05W  -18.9786  -175.8620  288.8880  0.407821  0.005409  0.042953  9.51
11_52132  B11W  -18.9786  -175.8620  288.8880  0.375466  0.005009  0.034460  9.78
11_52132  C10W  -18.9786  -175.8620  288.8880  0.435236  0.007524  0.041955  9.84
11_52132  B07W  -18.9786  -175.8620  288.8880  0.460134  0.005349  0.036981  12.11
11_52132  EUAP  -18.9786  -175.8620  288.8880  0.110511  0.002700  0.023822  2.20
11_52132  C03W  -18.9786  -175.8620  288.8880  0.355606  0.004857  0.035007  7.83
11_52132  B05W  -18.9786  -175.8620  288.8880  0.331517  0.003739  0.027609  8.54
11_52132  B04W  -18.9786  -175.8620  288.8880  0.419155  0.005248  0.036656  10.66
11_52132  B10  -18.9786  -175.8620  288.8880  0.403911  0.006064  0.041251  10.57
11_52132  B06  -18.9786  -175.8620  288.8880  0.346641  0.004025  0.029256  9.04
11_52132  B12  -18.9786  -175.8620  288.8880  0.363733  0.005532  0.039136  9.39
11_52132  A01  -18.9786  -175.8620  288.8880  0.278478  0.002999  0.023690  5.47
11_52140  C11W  -21.1880  -176.2620  212.6420  0.415544  0.003320  0.029622  15.06
11_52140  B02  -21.1880  -176.2620  212.6420  0.328377  0.002957  0.026351  9.17
11_52140  C08W  -21.1880  -176.2620  212.6420  0.449838  0.004267  0.033168  14.83
11_52140  C01W  -21.1880  -176.2620  212.6420  0.195569  0.001993  0.020883  5.94
11_52140  S01W  -21.1880  -176.2620  212.6420  0.330902  0.002591  0.023920  10.91
11_52140  C05W  -21.1880  -176.2620  212.6420  0.388391  0.003174  0.029265  13.34
11_52140  A02W  -21.1880  -176.2620  212.6420  0.301148  0.002709  0.026224  10.39
11_52140  C10W  -21.1880  -176.2620  212.6420  0.453762  0.004582  0.035732  16.09
